"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"33",2015-08-02,"2015-08",1,0,15.3166666666667,0.841666666666667,28.125,9.79166666666666,0,6230.91666666667,5959.79166666667,5877,3320.08333333333,271.125
"34",2015-08-03,"2015-08",2,0,19.3375,0.5875,29.1375,10.8041666666667,0,6154.91666666667,5804.125,6976.125,2614.875,350.791666666667
"35",2015-08-04,"2015-08",3,0,19.2541666666667,0.775,29.825,11.4916666666667,0,5036.125,5121.29166666667,5581.125,2650.70833333333,-85.166666666667
"36",2015-08-05,"2015-08",4,0,18.0666666666667,0.708333333333333,30.4125,12.0791666666667,0,5507.83333333333,5013.33333333333,5188.08333333333,3018.66666666667,494.5
"37",2015-08-06,"2015-08",5,0,21.5041666666667,0.929166666666667,28.6458333333333,10.3125,0,4694.20833333333,3921.16666666667,4101.95833333333,2343.83333333333,773.041666666667
"38",2015-08-07,"2015-08",6,1,20.8708333333333,1.5625,26.5541666666667,8.22083333333333,0,3396.125,2821.83333333333,5290,1090.70833333333,574.291666666667
"39",2015-08-08,"2015-08",7,1,18.1291666666667,1.225,26.4375,8.10416666666666,0,5663.625,5356.54166666667,6188.58333333333,873.041666666667,307.083333333333
"40",2015-08-09,"2015-08",1,0,18.3833333333333,0.670833333333333,27.5375,9.20416666666667,0,5518.70833333333,5743.41666666667,7174.66666666667,2115.41666666667,-224.708333333334
"41",2015-08-10,"2015-08",2,0,21.0708333333333,1.37083333333333,27.3083333333333,8.975,0,4939.95833333333,4404,6293.04166666667,2233.54166666667,535.958333333333
"42",2015-08-11,"2015-08",3,0,22.3958333333333,1.24166666666667,27.125,8.79166666666666,0,3905.16666666667,3635.83333333333,4776.70833333333,2632,269.333333333333
"43",2015-08-12,"2015-08",4,0,16.2666666666667,1.07083333333333,26.825,8.49166666666667,0,4615.29166666667,4430.91666666667,6066.25,2622.45833333333,184.375
"44",2015-08-13,"2015-08",5,0,15.2125,0.5875,26.15,7.81666666666667,0,5135.95833333333,5503.58333333333,6224.125,2826.45833333333,-367.625
"45",2015-08-14,"2015-08",6,1,17.2916666666667,0.408333333333333,27.0291666666667,8.69583333333333,0,5025.91666666667,5259.45833333333,6239.33333333333,2100.41666666667,-233.541666666666
"46",2015-08-15,"2015-08",7,1,18.4416666666667,0.533333333333333,26.7916666666667,8.45833333333333,0,5611.125,5362.04166666667,6544.20833333333,2802.29166666667,249.083333333333
"47",2015-08-16,"2015-08",1,0,17.6208333333333,0.4625,26.7916666666667,8.45833333333333,0,5749.79166666667,6326.125,6455.33333333333,1973.375,-576.333333333333
"48",2015-08-17,"2015-08",2,0,17.4208333333333,0.841666666666667,27.7666666666667,9.43333333333333,0,4994.66666666667,4968.25,6538.91666666667,2360.375,26.416666666667
"49",2015-08-18,"2015-08",3,0,21.0625,0.9,25.1458333333333,6.8125,0,3576.75,3512.33333333333,5396,1798.45833333333,64.4166666666665
"50",2015-08-19,"2015-08",4,0,22.325,1.05416666666667,26.9458333333333,8.6125,0,4861.29166666667,3954.5,5735.08333333333,2238.41666666667,906.791666666667
"51",2015-08-20,"2015-08",5,0,21.95,0.975,27.7958333333333,9.4625,0,4115.08333333333,4200.54166666667,5875.5,1593.04166666667,-85.4583333333339
"52",2015-08-21,"2015-08",6,1,19.8833333333333,0.979166666666667,26.9208333333333,8.5875,0,3356.08333333333,3808.25,4871.41666666667,2938.54166666667,-452.166666666667
"53",2015-08-22,"2015-08",7,1,18.7291666666667,0.6875,25.8458333333333,7.5125,0,5545.70833333333,5416.04166666667,6397.91666666667,2318.375,129.666666666666
"54",2015-08-23,"2015-08",1,0,19.925,0.775,24.7625,6.42916666666667,0,5761.375,4827.41666666667,6307.875,2296.08333333333,933.958333333333
"55",2015-08-24,"2015-08",2,0,20.8333333333333,0.554166666666667,27.2875,8.95416666666667,0,5821.33333333333,5603.625,6192.08333333333,1741.04166666667,217.708333333333
"56",2015-08-25,"2015-08",3,0,17.0666666666667,0.895833333333333,26.475,8.14166666666667,0,4766.95833333333,3951,5451.45833333333,1180.54166666667,815.958333333333
"57",2015-08-26,"2015-08",4,0,14.1625,1.45,24.3208333333333,5.9875,0,5056.33333333333,4767.70833333333,5364.04166666667,2535.16666666667,288.625
"58",2015-08-27,"2015-08",5,0,15.8958333333333,1.30833333333333,23.8791666666667,5.54583333333333,0,5287.41666666667,5086.66666666667,5260.91666666667,2421.125,200.75
"59",2015-08-28,"2015-08",6,1,14.9083333333333,0.770833333333333,24.05,5.71666666666667,0,5037.20833333333,4829.29166666667,5493.79166666667,2761.20833333333,207.916666666666
"60",2015-08-29,"2015-08",7,1,16.2166666666667,0.595833333333333,24.1,5.76666666666667,0,5824.16666666667,5732.45833333333,5518.91666666667,3339.79166666667,91.7083333333339
"61",2015-08-30,"2015-08",1,0,16.6958333333333,0.658333333333333,23.1375,4.80416666666667,0,5581.79166666667,5278.625,5090.625,3112.41666666667,303.166666666667
"62",2015-08-31,"2015-08",2,0,18.775,0.783333333333333,25.2541666666667,6.92083333333333,0,5836.95833333333,5601.70833333333,5956.33333333333,2705.375,235.25
"63",2015-09-01,"2015-09",3,0,17.1291666666667,0.533333333333333,27.2833333333333,8.95,0,5330.45833333333,5684.875,6372.875,2064.66666666667,-354.416666666667
"64",2015-09-02,"2015-09",4,0,18.1458333333333,0.654166666666667,28.2166666666667,9.88333333333333,0,4376.875,5270.875,6865.29166666667,2643.16666666667,-894
"65",2015-09-03,"2015-09",5,0,17.675,0.720833333333333,27.4333333333333,9.1,0,4477.375,4237,5418.25,2749.625,240.375
"66",2015-09-04,"2015-09",6,1,19.2041666666667,0.916666666666667,27.0333333333333,8.7,0,4316.29166666667,4672.08333333333,6482.125,2785.25,-355.791666666666
"67",2015-09-05,"2015-09",7,1,18.7833333333333,1.22083333333333,25.2041666666667,6.87083333333333,0,4902.16666666667,5101.08333333333,5655.20833333333,2592.66666666667,-198.916666666666
"68",2015-09-06,"2015-09",1,0,17.3083333333333,1.35416666666667,25.1041666666667,6.77083333333333,0,5495.58333333333,5677.16666666667,6525.79166666667,2286.45833333333,-181.583333333334
"69",2015-09-07,"2015-09",2,0,19.1541666666667,0.879166666666667,25.1208333333333,6.7875,0,5876.95833333333,5937.16666666667,6731.91666666667,2519.33333333333,-60.2083333333339
"70",2015-09-08,"2015-09",3,0,19.7041666666667,0.679166666666667,25.9125,7.57916666666667,0,5786.16666666667,5972.75,6336.5,2212.5,-186.583333333333
"71",2015-09-09,"2015-09",4,0,21.6583333333333,0.670833333333333,25.725,7.39166666666667,0,3829.45833333333,4365.25,5998.95833333333,2356.45833333333,-535.791666666667
"72",2015-09-10,"2015-09",5,0,21.6541666666667,1.10416666666667,25.775,7.44166666666667,0,3944.45833333333,4420.45833333333,5747.08333333333,2103,-476
"73",2015-09-11,"2015-09",6,1,19.0625,0.608333333333333,25.2541666666667,6.92083333333333,0,4434.45833333333,4178.91666666667,5451.33333333333,1952,255.541666666666
"74",2015-09-12,"2015-09",7,1,18.0208333333333,1.1125,22.0208333333333,3.6875,0,4633.375,4239.95833333333,5097.16666666667,1859.29166666667,393.416666666667
"75",2015-09-13,"2015-09",1,0,9.23333333333333,1.3125,18.9625,0.629166666666666,0,6582.41666666667,6690.33333333333,8440.83333333333,1421.75,-107.916666666666
"76",2015-09-14,"2015-09",2,0,5.9875,0.658333333333333,18.6875,0.354166666666664,0,4341.45833333333,4585.33333333333,7416.70833333333,1195.04166666667,-243.875
"77",2015-09-15,"2015-09",3,0,7.28333333333333,0.85,20.4583333333333,2.125,0,4725.04166666667,4598.83333333333,6436.625,1687.75,126.208333333334
"78",2015-09-16,"2015-09",4,0,11.0375,0.829166666666667,20.175,1.84166666666667,0,4894.375,4629.79166666667,6000.5,1782.25,264.583333333333
"79",2015-09-17,"2015-09",5,0,13.2166666666667,0.7,21.7666666666667,3.43333333333333,0,5367.04166666667,4730.375,5430,1119.04166666667,636.666666666667
"80",2015-09-18,"2015-09",6,1,14.1666666666667,0.829166666666667,22.6375,4.30416666666666,0,4690.79166666667,4428.04166666667,6295.83333333333,1650.5,262.75
"81",2015-09-19,"2015-09",7,1,14.1958333333333,0.608333333333333,24.2166666666667,5.88333333333333,0,5644.33333333333,5813.70833333333,6499.5,2114.83333333333,-169.375
"82",2015-09-20,"2015-09",1,0,14.9666666666667,0.820833333333333,24.65,6.31666666666667,0,6187,5980.95833333333,6601.83333333333,2166.79166666667,206.041666666667
"83",2015-09-21,"2015-09",2,0,18.9166666666667,1.18333333333333,21.9291666666667,3.59583333333333,0,3984.375,4245.70833333333,4796.25,2373.41666666667,-261.333333333333
